model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,task_status,layer,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,trained,block_01,2,0.17926352520357053,0.4150481232085034,0.9259507047016982,0.4259033203125,0.3575439453125,0.068359375
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,trained,block_02,2,0.32782670266615954,0.5721501015703312,0.8372671692995257,0.480224609375,0.3575439453125,0.1226806640625
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,trained,block_03,2,0.3634532496224831,0.5996627083995576,0.8124317552876904,0.48779296875,0.3575439453125,0.1302490234375
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,trained,block_04,2,0.3768057889476673,0.6099886734392893,0.8035211600807513,0.49951171875,0.3575439453125,0.1419677734375
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,trained,embedding,2,0.0,0.0,1.0220626638421297,0.3519287109375,0.3575439453125,-0.005615234375
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,trained,final_norm,2,0.37411887068332644,0.6077836619508441,0.8053216220751422,0.495361328125,0.3575439453125,0.1378173828125
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,opposite_pool,block_01,16,0.21365673794405746,0.4304704295187437,0.9095970615146589,0.4693145751953125,0.415008544921875,0.0543060302734375
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,opposite_pool,block_02,16,0.2863114926222781,0.5056577925180187,0.8640765380921436,0.4907073974609375,0.415008544921875,0.0756988525390625
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,opposite_pool,block_03,16,0.2925683125089509,0.5123758446636821,0.8600567931805854,0.4921722412109375,0.415008544921875,0.0771636962890625
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,opposite_pool,block_04,16,0.29399145146328204,0.512875236867508,0.8588794729166856,0.4886932373046875,0.415008544921875,0.0736846923828125
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,opposite_pool,embedding,16,-1.3877787807814457e-17,-0.0033106866903471867,1.0335801082433789,0.3900299072265625,0.415008544921875,-0.0249786376953125
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,opposite_pool,final_norm,16,0.28560142055171417,0.5041883310967364,0.8645327824679135,0.4879913330078125,0.415008544921875,0.0729827880859375
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,same_pool_untrained,block_01,12,0.17095428476675054,0.3891438758226322,0.9192768758787765,0.44842529296875,0.43060302734375,0.017822265625
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,same_pool_untrained,block_02,12,0.23675840077465615,0.4611438964861443,0.8784281735003642,0.4676513671875,0.43060302734375,0.03704833984375
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,same_pool_untrained,block_03,12,0.2554948119444422,0.47565124212254445,0.8647352786971231,0.4750773111979167,0.43060302734375,0.044474283854166664
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,same_pool_untrained,block_04,12,0.2672505146445889,0.4861985097664008,0.8570287666313151,0.4760945638020833,0.43060302734375,0.045491536458333336
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,same_pool_untrained,embedding,12,-1.850371707708594e-17,0.0006492841016145608,1.013343084966818,0.3821818033854167,0.43060302734375,-0.048421223958333336
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,same_pool_untrained,final_norm,12,0.2618021352918176,0.48192143302185575,0.8609457133443885,0.4747517903645833,0.43060302734375,0.044148763020833336
trained,r0,b,property-b-transformer-tasks04-seed17,17,4,trained,block_01,4,0.17968858640929408,0.41080286702779373,0.9285308120998292,0.45733642578125,0.4287109375,0.02862548828125
