replicate_id,model_seed,trained_task_count,layer,pool_direction_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
r1,42,4,block_03,2,0.2928926573144257,0.5167916678436077,0.85445604222002,0.48851776123046875,0.42256927490234375,0.065948486328125
r1,42,4,block_04,2,0.28853049772226325,0.5124750679579759,0.8571920991392706,0.48636627197265625,0.42256927490234375,0.0637969970703125
r1,42,4,final_norm,2,0.27480108673764597,0.4988779140758961,0.865962818403925,0.48273468017578125,0.42256927490234375,0.0601654052734375
r1,42,8,embedding,2,6.938893903907228e-18,-0.0013399340981811712,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r1,42,8,block_01,2,0.2067131722796763,0.42775945521553166,0.9083756116573566,0.46417999267578125,0.42256927490234375,0.0416107177734375
r1,42,8,block_02,2,0.30661747039577825,0.5254729034340451,0.8445532555654481,0.497161865234375,0.42256927490234375,0.07459259033203125
r1,42,8,block_03,2,0.3287416197773686,0.5456903109366262,0.8295712673625129,0.5050277709960938,0.42256927490234375,0.08245849609375
r1,42,8,block_04,2,0.33562094527120767,0.5535124941613602,0.8245671518142943,0.5067291259765625,0.42256927490234375,0.08415985107421875
r1,42,8,final_norm,2,0.32648242835852964,0.5452379980913815,0.8312755367334805,0.502105712890625,0.42256927490234375,0.07953643798828125
r1,42,16,embedding,2,-3.469446951953614e-18,0.001042903164896346,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r1,42,16,block_01,2,0.21309117857574733,0.43388220922118304,0.9043676404163107,0.46338653564453125,0.42256927490234375,0.0408172607421875
r1,42,16,block_02,2,0.2806114967244635,0.49596211968656007,0.859498103883813,0.48630523681640625,0.42256927490234375,0.0637359619140625
r1,42,16,block_03,2,0.29093718878435304,0.5050685315985235,0.851836361272059,0.49060821533203125,0.42256927490234375,0.0680389404296875
r1,42,16,block_04,2,0.2932132403459816,0.5082521412393817,0.8506524083788891,0.4901885986328125,0.42256927490234375,0.06761932373046875
r1,42,16,final_norm,2,0.2830222909585424,0.4991206033006741,0.8580056714084761,0.48685455322265625,0.42256927490234375,0.0642852783203125
r2,101,1,embedding,2,0.0,-2.4247680105445404e-05,1.0251327043353742,0.38707733154296875,0.42256927490234375,-0.035491943359375
r2,101,1,block_01,2,0.15410208776561152,0.3632516717199765,0.9401348234706505,0.44866180419921875,0.42256927490234375,0.026092529296875
r2,101,1,block_02,2,0.24807059280760468,0.4667501419221814,0.882273564608218,0.473419189453125,0.42256927490234375,0.05084991455078125
r2,101,1,block_03,2,0.25818229804014664,0.4744204994078861,0.8747357290790554,0.47783660888671875,0.42256927490234375,0.055267333984375
r2,101,1,block_04,2,0.24156126271849326,0.45866439175203744,0.8853948638390823,0.47171783447265625,0.42256927490234375,0.0491485595703125
r2,101,1,final_norm,2,0.24151778742300584,0.45958432818139294,0.8854775193189903,0.47259521484375,0.42256927490234375,0.05002593994140625
r2,101,2,embedding,2,0.0,-0.0002906638690577635,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r2,101,2,block_01,2,0.1985783587910847,0.41160514103109225,0.9130411957478094,0.46134185791015625,0.42256927490234375,0.0387725830078125
r2,101,2,block_02,2,0.2916778281166871,0.5056764510060008,0.8538777234987335,0.489898681640625,0.42256927490234375,0.06732940673828125
r2,101,2,block_03,2,0.29065736685812826,0.5045624744899212,0.8542506168909942,0.48809814453125,0.42256927490234375,0.06552886962890625
r2,101,2,block_04,2,0.27539239995260023,0.49052613955644,0.8643430667667031,0.48416900634765625,0.42256927490234375,0.0615997314453125
r2,101,2,final_norm,2,0.2663802501942678,0.4783098594066729,0.8696492455701222,0.48004913330078125,0.42256927490234375,0.0574798583984375
r2,101,4,embedding,2,6.938893903907228e-18,-0.00039278482589391876,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r2,101,4,block_01,2,0.21339979192664899,0.43064239306331653,0.9034139765356078,0.46460723876953125,0.42256927490234375,0.0420379638671875
r2,101,4,block_02,2,0.27374486995025127,0.4878018241634204,0.8637151489172447,0.4832763671875,0.42256927490234375,0.06070709228515625
r2,101,4,block_03,2,0.2775343827450074,0.49258137145110903,0.8613113696784471,0.48598480224609375,0.42256927490234375,0.06341552734375
r2,101,4,block_04,2,0.27017333949871114,0.48664910881668777,0.8666916727065815,0.4811859130859375,0.42256927490234375,0.05861663818359375
r2,101,4,final_norm,2,0.2535332685231802,0.4661776041752389,0.8768950687259317,0.47418975830078125,0.42256927490234375,0.0516204833984375
r2,101,8,embedding,2,-1.3877787807814457e-17,-0.0002882568265983555,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r2,101,8,block_01,2,0.18348149834168828,0.4048851190850006,0.9231855038386587,0.45540618896484375,0.42256927490234375,0.0328369140625
r2,101,8,block_02,2,0.2913258114202907,0.5055800824923263,0.8512490182943262,0.494354248046875,0.42256927490234375,0.07178497314453125
r2,101,8,block_03,2,0.303378200200851,0.5180647966199498,0.842245363444895,0.5014724731445312,0.42256927490234375,0.0789031982421875
r2,101,8,block_04,2,0.3066415930243849,0.5209582211666001,0.8394380096277798,0.502593994140625,0.42256927490234375,0.08002471923828125
r2,101,8,final_norm,2,0.3007834165635931,0.5173373415310593,0.8448366896642895,0.49727630615234375,0.42256927490234375,0.07470703125
r2,101,16,embedding,2,0.0,0.0001712701649751998,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r2,101,16,block_01,2,0.22841360385006187,0.4480271825344428,0.8931193101578526,0.47308349609375,0.42256927490234375,0.05051422119140625
r2,101,16,block_02,2,0.2698538548329763,0.4850211403982287,0.8650502833797304,0.48426055908203125,0.42256927490234375,0.0616912841796875
r2,101,16,block_03,2,0.29063743225625954,0.5031437029739254,0.8520163266175906,0.4918670654296875,0.42256927490234375,0.06929779052734375
r2,101,16,block_04,2,0.30173339174612857,0.515133784424388,0.8447480771211157,0.49434661865234375,0.42256927490234375,0.07177734375
r2,101,16,final_norm,2,0.29613748299806686,0.5114825623620785,0.848993202101241,0.49170684814453125,0.42256927490234375,0.0691375732421875
