model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,trained_tasks,probe_task,probe_task_family,task_status,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,max_displacement,global_run,same_pool_untrained,block_02,1e-06,0.4757486771750643,3072,1024,4096,0.4617843279127015,0.6809507215118269,0.7399465999127272,0.40234375,0.2568359375,0.1455078125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,displacement_one_count,global_run,opposite_pool,block_02,1e-05,0.16996345849733807,3072,1024,4096,0.2116284807892097,0.4621379200541184,0.8924560627807546,0.367431640625,0.30615234375,0.061279296875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,descents,local,trained,block_03,1e-06,0.9954501682783451,3072,1024,4096,0.9960588060420504,0.9980314627572312,0.06565259347343153,0.998779296875,0.347412109375,0.6513671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,recoils,local,opposite_pool,block_03,0.0001,0.25344273603331235,3072,1024,4096,0.27025823021078677,0.5202864980243381,0.89192578983923,0.443359375,0.339599609375,0.103759765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,peaks,local,same_pool_untrained,block_03,0.0001,0.36566869255577594,3072,1024,4096,0.34236118553674055,0.5857712051004121,0.7996496584462705,0.565185546875,0.479248046875,0.0859375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,valleys,local,opposite_pool,block_03,1e-05,0.312804985730853,3072,1024,4096,0.35487431224585164,0.5973989773555511,0.79414940198782,0.566162109375,0.45458984375,0.111572265625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_ascents,local,same_pool_untrained,block_03,1e-05,0.7208027759786675,3072,1024,4096,0.7061817058146025,0.8404937931357823,0.5491299370628294,0.55419921875,0.352783203125,0.201416015625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_descents,local,opposite_pool,block_03,1e-05,0.6776967383250905,3072,1024,4096,0.7224692104439023,0.8500790744285192,0.5380494155451403,0.555419921875,0.34716796875,0.208251953125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,successions,local,same_pool_untrained,block_03,1e-05,0.4975943278605194,3072,1024,4096,0.49253404721415284,0.7024388090999638,0.7286389513689493,0.575927734375,0.3974609375,0.178466796875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,adjacencies,local,opposite_pool,block_03,1e-05,0.418139261871295,3072,1024,4096,0.4197524527517593,0.6498491859987804,0.7409637101500883,0.462890625,0.33349609375,0.12939453125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,fixed_points,positional,same_pool_untrained,block_03,0.0001,0.15677514451039432,3072,1024,4096,0.2060032616364439,0.45382731664569387,0.9236937326892717,0.431396484375,0.376708984375,0.0546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,anti_fixed_points,positional,opposite_pool,block_03,1e-05,0.1350342298451357,3072,1024,4096,0.15537810789480044,0.4001958436482436,0.9190519359958125,0.44189453125,0.37548828125,0.06640625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,exceedances,positional,same_pool_untrained,block_03,1e-05,0.32646251511363455,3072,1024,4096,0.38554406074101977,0.620893834982196,0.8023423624552247,0.465576171875,0.338134765625,0.12744140625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,deficiencies,positional,opposite_pool,block_03,1e-05,0.3052724941824051,3072,1024,4096,0.32538044313394665,0.5704291787032465,0.839426950569343,0.442626953125,0.332275390625,0.1103515625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_maxima,positional,same_pool_untrained,block_03,1e-06,0.5154108540460121,3072,1024,4096,0.5430364455783527,0.7380845655065146,0.6796682408000049,0.488037109375,0.319580078125,0.16845703125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_minima,positional,opposite_pool,block_03,1e-06,0.6025131814693869,3072,1024,4096,0.5966203358915929,0.772664545375845,0.654710733304639,0.510498046875,0.305908203125,0.20458984375
