run_id,architecture,trained_task_count,seed,task,task_status,validation_examples,supervised_tokens,token_accuracy_pct,exact_sequence_accuracy_pct
transformer-tasks08-seed17,transformer,8,17,commutator,pool_unseen,110,3816,61.504193,1.818182
transformer-tasks08-seed17,transformer,8,17,length,pool_unseen,160,485,20.824742,0.000000
transformer-tasks08-seed17,transformer,8,17,rsk_shape,pool_unseen,160,2074,42.189007,0.000000
transformer-tasks08-seed17,transformer,8,17,inverse,pool_unseen,160,5594,57.257776,0.000000
transformer-tasks08-seed17,transformer,8,17,cycle_type,pool_unseen,160,1358,37.849779,0.000000
transformer-tasks08-seed17,transformer,8,17,bruhat_leq,pool_unseen,158,316,0.000000,0.000000
transformer-tasks08-seed17,transformer,8,17,to_reduced_word,fixed_holdout,47,7862,14.881709,0.000000
transformer-tasks08-seed17,transformer,8,17,compose,fixed_holdout,108,3784,61.839323,1.851852
transformer-tasks08-seed17,transformer,8,17,parity,fixed_holdout,160,320,50.000000,0.000000
transformer-tasks08-seed17,transformer,8,17,to_lehmer,fixed_holdout,160,5508,48.874365,0.000000
transformer-tasks08-seed42,transformer,8,42,power,seen,156,5324,67.674681,13.461538
transformer-tasks08-seed42,transformer,8,42,lis_length,seen,160,320,85.000000,70.000000
transformer-tasks08-seed42,transformer,8,42,fixed_points,seen,160,320,98.750000,97.500000
transformer-tasks08-seed42,transformer,8,42,to_inversion_vector,seen,160,5462,75.393629,22.500000
transformer-tasks08-seed42,transformer,8,42,pattern_avoidance,seen,160,320,99.375000,98.750000
transformer-tasks08-seed42,transformer,8,42,lds_length,seen,160,320,82.500000,65.000000
transformer-tasks08-seed42,transformer,8,42,right_multiply_simple,seen,156,5144,92.671073,28.205128
transformer-tasks08-seed42,transformer,8,42,conjugate,seen,109,3550,63.183099,7.339450
transformer-tasks08-seed42,transformer,8,42,to_cycle,pool_unseen,160,5756,44.249479,0.000000
transformer-tasks08-seed42,transformer,8,42,descents,pool_unseen,160,320,49.062500,0.000000
transformer-tasks08-seed42,transformer,8,42,commutator,pool_unseen,110,3816,61.792453,1.818182
transformer-tasks08-seed42,transformer,8,42,length,pool_unseen,160,485,13.402062,0.000000
transformer-tasks08-seed42,transformer,8,42,rsk_shape,pool_unseen,160,2074,37.126326,0.000000
transformer-tasks08-seed42,transformer,8,42,inverse,pool_unseen,160,5594,57.329281,0.000000
transformer-tasks08-seed42,transformer,8,42,cycle_type,pool_unseen,160,1358,29.896907,0.000000
transformer-tasks08-seed42,transformer,8,42,bruhat_leq,pool_unseen,158,316,0.000000,0.000000
transformer-tasks08-seed42,transformer,8,42,to_reduced_word,fixed_holdout,47,7862,15.530399,0.000000
transformer-tasks08-seed42,transformer,8,42,compose,fixed_holdout,108,3784,61.601480,0.925926
transformer-tasks08-seed42,transformer,8,42,parity,fixed_holdout,160,320,50.000000,0.000000
transformer-tasks08-seed42,transformer,8,42,to_lehmer,fixed_holdout,160,5508,48.257081,0.000000
transformer-tasks08-seed314159,transformer,8,314159,power,seen,156,5324,68.557476,16.025641
transformer-tasks08-seed314159,transformer,8,314159,lis_length,seen,160,320,86.250000,72.500000
transformer-tasks08-seed314159,transformer,8,314159,fixed_points,seen,160,320,99.062500,98.125000
transformer-tasks08-seed314159,transformer,8,314159,to_inversion_vector,seen,160,5462,78.011717,25.000000
transformer-tasks08-seed314159,transformer,8,314159,pattern_avoidance,seen,160,320,99.375000,98.750000
transformer-tasks08-seed314159,transformer,8,314159,lds_length,seen,160,320,80.312500,60.625000
transformer-tasks08-seed314159,transformer,8,314159,right_multiply_simple,seen,156,5144,94.809487,30.128205
transformer-tasks08-seed314159,transformer,8,314159,conjugate,seen,109,3550,62.647887,10.091743
transformer-tasks08-seed314159,transformer,8,314159,to_cycle,pool_unseen,160,5756,44.735928,0.000000
transformer-tasks08-seed314159,transformer,8,314159,descents,pool_unseen,160,320,50.000000,0.000000
transformer-tasks08-seed314159,transformer,8,314159,commutator,pool_unseen,110,3816,61.897275,1.818182
transformer-tasks08-seed314159,transformer,8,314159,length,pool_unseen,160,485,20.618557,0.000000
transformer-tasks08-seed314159,transformer,8,314159,rsk_shape,pool_unseen,160,2074,36.981678,0.000000
transformer-tasks08-seed314159,transformer,8,314159,inverse,pool_unseen,160,5594,57.490168,0.000000
transformer-tasks08-seed314159,transformer,8,314159,cycle_type,pool_unseen,160,1358,29.823270,0.000000
transformer-tasks08-seed314159,transformer,8,314159,bruhat_leq,pool_unseen,158,316,0.000000,0.000000
transformer-tasks08-seed314159,transformer,8,314159,to_reduced_word,fixed_holdout,47,7862,15.314169,0.000000
transformer-tasks08-seed314159,transformer,8,314159,compose,fixed_holdout,108,3784,61.442918,1.851852
transformer-tasks08-seed314159,transformer,8,314159,parity,fixed_holdout,160,320,50.000000,0.000000
transformer-tasks08-seed314159,transformer,8,314159,to_lehmer,fixed_holdout,160,5508,47.240378,0.000000
transformer-tasks16-seed17,transformer,16,17,power,seen,156,5324,65.045079,7.051282
transformer-tasks16-seed17,transformer,16,17,lis_length,seen,160,320,84.062500,68.125000
