model_kind,run_id,architecture,condition,model_seed,trained_tasks,probe_task,probe_task_family,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,three_cycle_count,cycle,block_02,1.0,0.0021765711361860784,6144,2048,8192,0.0025745044069964695,0.050938138942703444,0.999035163573425,0.7235107421875,0.7235107421875,0.0
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,even_cycle_count,cycle,block_02,0.1,0.037148243631121014,6144,2048,8192,0.03726537474854996,0.19361267263717455,0.992131231352653,0.4263916015625,0.40771484375,0.0186767578125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,odd_cycle_count,cycle,block_02,1e-05,0.28112994377806844,6144,2048,8192,0.2515529019589179,0.5056590846587514,0.8589680102517967,0.3717041015625,0.5802001953125,-0.20849609375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_cycle,cycle,block_02,0.01,0.0628062103280862,6144,2048,8192,0.07467464362814702,0.27323311804540923,0.9642362750595788,0.1727294921875,0.1644287109375,0.00830078125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,shortest_cycle,cycle,block_02,0.001,0.09675385554159366,6144,2048,8192,0.10021151871869882,0.3177433963295119,0.9524270152388261,0.211669921875,0.6358642578125,-0.4241943359375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,nontrivial_cycle_count,cycle,block_02,0.01,0.0687737720700855,6144,2048,8192,0.06745475211402807,0.2597235764948678,0.9799256615432712,0.448974609375,0.4312744140625,0.0177001953125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,lis_length,global_run,block_02,0.0001,0.5328088264778641,6144,2048,8192,0.5436554104221768,0.7373972120187261,0.6908534568519579,0.5166015625,0.39697265625,0.11962890625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,lds_length,global_run,block_02,0.0001,0.4710913938804361,6144,2048,8192,0.4942758943003279,0.7029874514472377,0.7375358874953183,0.510009765625,0.396484375,0.113525390625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_increasing_run,global_run,block_02,0.0001,0.29030984963562345,6144,2048,8192,0.29022917870784204,0.5385142933645799,0.8999234358611223,0.486572265625,0.5040283203125,-0.0174560546875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_decreasing_run,global_run,block_02,0.001,0.19218343667276228,6144,2048,8192,0.22931877475598073,0.48159641920772467,0.9677254679309124,0.5076904296875,0.5018310546875,0.005859375
