model_kind,run_id,architecture,condition,model_seed,layer,probe_task_family,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
random,random-transformer-seed17,transformer,random_init,17,final_norm,positional,8,0.42118408723546125,0.6402858657927039,0.763555809434029,0.463775634765625,0.33001708984375,0.133758544921875
random,random-transformer-seed314159,transformer,random_init,314159,block_01,all,32,0.13237054416639574,0.335796303528225,0.9582942694429626,0.4319877624511719,0.4211578369140625,0.010829925537109375
random,random-transformer-seed314159,transformer,random_init,314159,block_01,cycle,8,0.10618365243328666,0.2860632260566117,0.9480126768887158,0.3998565673828125,0.4817047119140625,-0.08184814453125
random,random-transformer-seed314159,transformer,random_init,314159,block_01,global_run,8,0.1436445808303624,0.36283290852733535,1.0095302500793735,0.5270538330078125,0.4976806640625,0.0293731689453125
random,random-transformer-seed314159,transformer,random_init,314159,block_01,local,8,0.054070055786144336,0.23039060277693196,0.9889361014831924,0.386962890625,0.3752288818359375,0.0117340087890625
random,random-transformer-seed314159,transformer,random_init,314159,block_01,positional,8,0.22558388761578949,0.4638984767520209,0.8866980493205686,0.4140777587890625,0.33001708984375,0.0840606689453125
random,random-transformer-seed314159,transformer,random_init,314159,block_02,all,32,0.2160702748355141,0.4217810328280462,0.9071777249033602,0.4517974853515625,0.4211578369140625,0.0306396484375
random,random-transformer-seed314159,transformer,random_init,314159,block_02,cycle,8,0.10405339289898254,0.2773180241978591,0.9491186720206162,0.4001617431640625,0.4817047119140625,-0.08154296875
random,random-transformer-seed314159,transformer,random_init,314159,block_02,global_run,8,0.2788816614789936,0.5117701785673436,0.9263856743969928,0.5558929443359375,0.4976806640625,0.0582122802734375
random,random-transformer-seed314159,transformer,random_init,314159,block_02,local,8,0.08451579443274236,0.27590316161931827,0.9725003427806092,0.3935394287109375,0.3752288818359375,0.018310546875
random,random-transformer-seed314159,transformer,random_init,314159,block_02,positional,8,0.3968302505313379,0.6221327669276638,0.7807062104152229,0.4575958251953125,0.33001708984375,0.1275787353515625
random,random-transformer-seed314159,transformer,random_init,314159,block_03,all,32,0.2235188680959973,0.4274046095199143,0.9018969916039394,0.4541740417480469,0.4211578369140625,0.033016204833984375
random,random-transformer-seed314159,transformer,random_init,314159,block_03,cycle,8,0.09911524381094712,0.26815921199186954,0.9518859673972776,0.3998870849609375,0.4817047119140625,-0.081817626953125
random,random-transformer-seed314159,transformer,random_init,314159,block_03,global_run,8,0.29195320994669405,0.5242485515217734,0.9173883630115981,0.5564422607421875,0.4976806640625,0.0587615966796875
random,random-transformer-seed314159,transformer,random_init,314159,block_03,local,8,0.08674122982804525,0.2801865316474068,0.9713265486621134,0.395050048828125,0.3752288818359375,0.0198211669921875
random,random-transformer-seed314159,transformer,random_init,314159,block_03,positional,8,0.41626578879830284,0.6370241429186076,0.7669870873447686,0.4653167724609375,0.33001708984375,0.1352996826171875
random,random-transformer-seed314159,transformer,random_init,314159,block_04,all,32,0.22237488931266997,0.4263008450565797,0.9024132589306397,0.4532127380371094,0.4211578369140625,0.032054901123046875
random,random-transformer-seed314159,transformer,random_init,314159,block_04,cycle,8,0.0956325674541847,0.2637474445142287,0.9538114483219899,0.3983154296875,0.4817047119140625,-0.0833892822265625
random,random-transformer-seed314159,transformer,random_init,314159,block_04,global_run,8,0.29475531610957334,0.5274761313419756,0.9155657896153464,0.55694580078125,0.4976806640625,0.05926513671875
random,random-transformer-seed314159,transformer,random_init,314159,block_04,local,8,0.08420466478174246,0.2782506966281347,0.9726436388824363,0.3952789306640625,0.3752288818359375,0.020050048828125
random,random-transformer-seed314159,transformer,random_init,314159,block_04,positional,8,0.41490700890517934,0.6357291077419799,0.7676321589027861,0.462310791015625,0.33001708984375,0.132293701171875
random,random-transformer-seed314159,transformer,random_init,314159,embedding,all,32,-6.938893903907228e-18,-0.0006450025488147189,1.0302822599035704,0.3819007873535156,0.4211578369140625,-0.039257049560546875
random,random-transformer-seed314159,transformer,random_init,314159,embedding,cycle,8,0.0,-0.003027508956068283,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
random,random-transformer-seed314159,transformer,random_init,314159,embedding,global_run,8,0.0,-0.003097817019973657,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
random,random-transformer-seed314159,transformer,random_init,314159,embedding,local,8,0.0,0.0033454348119177756,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
random,random-transformer-seed314159,transformer,random_init,314159,embedding,positional,8,-2.7755575615628914e-17,0.00019988096886528871,1.0094446338448388,0.3288726806640625,0.33001708984375,-0.0011444091796875
random,random-transformer-seed314159,transformer,random_init,314159,final_norm,all,32,0.22109876970564324,0.42449817416822383,0.9032066069663051,0.4527397155761719,0.4211578369140625,0.031581878662109375
random,random-transformer-seed314159,transformer,random_init,314159,final_norm,cycle,8,0.09488598103449418,0.2623218465799681,0.9542077564678652,0.3982696533203125,0.4817047119140625,-0.08343505859375
