architecture,condition,layer,probe_task_family,seed_count,length_conditioned_r2_delta_mean,length_conditioned_r2_delta_sample_sd,pearson_r_delta_mean,pearson_r_delta_sample_sd,normalized_rmse_delta_mean,normalized_rmse_delta_sample_sd,exact_accuracy_delta_mean,exact_accuracy_delta_sample_sd,length_mode_baseline_accuracy_delta_mean,length_mode_baseline_accuracy_delta_sample_sd,exact_accuracy_minus_baseline_delta_mean,exact_accuracy_minus_baseline_delta_sample_sd
transformer,statistics_s4,final_norm,positional,3,0.21433897605948524,0.033511883630046334,0.1502657391022547,0.021627490463677707,-0.16431191149828248,0.028499955959550738,0.08537801106770833,0.022369178330395693,0.0,0.0,0.08537801106770833,0.022369178330395693
transformer,statistics_s4,final_norm,cycle,3,0.08761339512714095,0.01927859453054964,0.14174910223263934,0.020379093988448643,-0.04874193921947042,0.011234597494187776,0.0354461669921875,0.005963376058891565,0.0,0.0,0.0354461669921875,0.005963376058891565
transformer,statistics_s4,final_norm,global_run,3,0.25210910279014254,0.016067087709173387,0.2088670356751836,0.012570224309973677,-0.18635985922294196,0.012150055449062985,0.057545979817708336,0.0014693139004900316,0.0,0.0,0.057545979817708336,0.0014693139004900316
transformer,statistics_s4,final_norm,all,3,0.20825706816389875,0.01860794509752499,0.20575556051412827,0.015214996304035545,-0.1408811343053953,0.013656311147820961,0.056917826334635414,0.0072676203637517586,0.0,0.0,0.056917826334635414,0.0072676203637517586
transformer,algebra_a4,embedding,local,3,0.0,1.3877787807814457e-17,-0.00034919097352899796,0.0011997806578235464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,algebra_a4,embedding,positional,3,0.0,2.7755575615628914e-17,0.0004846693772772691,0.0005747375059952858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,algebra_a4,embedding,cycle,3,4.625929269271485e-18,8.012344526598183e-18,0.0011462465421975836,0.0012334471815691618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,algebra_a4,embedding,global_run,3,0.0,0.0,0.0009060178732624204,0.0021927457114935263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,algebra_a4,embedding,all,3,1.1564823173178713e-18,1.1152711579477387e-17,0.0005469357048020687,0.0006870339442736697,-1.4802973661668753e-16,1.2819751242557092e-16,0.0,0.0,0.0,0.0,0.0,0.0
transformer,algebra_a4,block_01,local,3,0.09592855209329315,0.008848102744227197,0.15938882628781983,0.01728669973266665,-0.051908974247774776,0.004678026357735438,0.005101521809895833,0.0010181550155853375,0.0,0.0,0.005101521809895833,0.0010181550155853375
transformer,algebra_a4,block_01,positional,3,0.14274680184890284,0.005663364600704805,0.13269798830615712,0.0033990338807860345,-0.09204691408887988,0.003420401389230134,0.0268707275390625,0.0013388663583387037,0.0,0.0,0.0268707275390625,0.0013388663583387037
transformer,algebra_a4,block_01,cycle,3,-0.0325555786628405,0.0033366428776106633,-0.04443871452269004,0.008456867044382631,0.017947790843502214,0.0017071132795407258,-0.009740193684895834,0.003984570140049227,0.0,0.0,-0.009740193684895834,0.003984570140049227
transformer,algebra_a4,block_01,global_run,3,0.19239194893723113,0.006981990854463387,0.21441974376735118,0.012858198041814043,-0.12305316934176917,0.0036085042609579863,0.018152872721354168,0.002442423290764798,0.0,0.0,0.018152872721354168,0.002442423290764798
transformer,algebra_a4,block_01,all,3,0.09962793105414665,0.003695827874438106,0.1155169609596595,0.00649611643560417,-0.062265316708730443,0.0018744257227088024,0.010096232096354166,0.000424963667414571,0.0,0.0,0.010096232096354166,0.000424963667414571
transformer,algebra_a4,block_02,local,3,0.09210047967675102,0.012572697247601414,0.14246496375447196,0.016582295452320997,-0.050496750469665765,0.00705095373441957,0.004857381184895833,0.00348386369326458,0.0,0.0,0.004857381184895833,0.00348386369326458
transformer,algebra_a4,block_02,positional,3,0.03577773853231886,0.02718401380292994,0.02812663910544133,0.022113968550515634,-0.02721750197401192,0.01758319077250873,0.0029856363932291665,0.007380228986601287,0.0,0.0,0.0029856363932291665,0.007380228986601287
transformer,algebra_a4,block_02,cycle,3,-0.020499021873464404,0.010302414733160561,-0.012496456305780354,0.018720416966338967,0.011631951765434856,0.005544343263249201,-0.004023234049479167,0.0041522508080297366,0.0,0.0,-0.004023234049479167,0.0041522508080297366
transformer,algebra_a4,block_02,global_run,3,0.09003352496841342,0.004412428796778591,0.08943704969516315,0.004364004991581794,-0.06334835734442686,0.00265095606581011,-0.0023396809895833335,0.004032893426810577,0.0,0.0,-0.0023396809895833335,0.004032893426810577
transformer,algebra_a4,block_02,all,3,0.04935318032600471,0.011123891333159084,0.06188304906232406,0.01302890068934469,-0.03235766450566746,0.006730398061238679,0.000370025634765625,0.0032533329786981714,0.0,0.0,0.000370025634765625,0.0032533329786981714
transformer,algebra_a4,block_03,local,3,0.08707792952666205,0.013716501290077643,0.1351923877231983,0.018047498965351755,-0.04764030096725824,0.007668135048299182,0.0016326904296875,0.002899049455248001,0.0,0.0,0.0016326904296875,0.002899049455248001
transformer,algebra_a4,block_03,positional,3,0.012358911514150953,0.023384259054905026,0.01029735862795722,0.018433060477746423,-0.010475497872762732,0.01534520208382855,-0.0029246012369791665,0.007097557021339511,0.0,0.0,-0.0029246012369791665,0.007097557021339511
transformer,algebra_a4,block_03,cycle,3,-0.015850217460690822,0.007721815967723889,-0.001734316471411701,0.00990011972153053,0.00905054314670554,0.004041571813064699,-0.0006917317708333334,0.0025749102933698763,0.0,0.0,-0.0006917317708333334,0.0025749102933698763
transformer,algebra_a4,block_03,global_run,3,0.07522568410768256,0.0031988350987318345,0.07524492307967674,0.002990261606921553,-0.052846022025059024,0.0017747043082521222,-0.0030975341796875,0.002437779593938174,0.0,0.0,-0.0030975341796875,0.002437779593938174
transformer,algebra_a4,block_03,all,3,0.03970307692195116,0.008377059974254678,0.054750088239855166,0.00740475837696074,-0.025477819429593596,0.005146487952813222,-0.001270294189453125,0.0016818316284171444,0.0,0.0,-0.001270294189453125,0.0016818316284171444
transformer,algebra_a4,block_04,local,3,0.07465148830276985,0.005259893547173961,0.11993615410088197,0.006942057051942758,-0.040487719636674004,0.002986364419220999,0.0017954508463541667,0.0022597608915173348,0.0,0.0,0.0017954508463541667,0.0022597608915173348
transformer,algebra_a4,block_04,positional,3,-0.002916449421087227,0.015994778946417952,-0.0007646006021034083,0.012484455173596032,0.0009080054238402857,0.01042044854623728,-0.007680257161458333,0.0063101381098455145,0.0,0.0,-0.007680257161458333,0.0063101381098455145
transformer,algebra_a4,block_04,cycle,3,-0.015211607743597913,0.0015041459060805289,-0.0014783276628245745,0.0030119600715930225,0.00867629562993085,0.0009014918642018372,-0.0009714762369791666,0.003685000191234125,0.0,0.0,-0.0009714762369791666,0.003685000191234125
transformer,algebra_a4,block_04,global_run,3,0.05237615212057287,0.008102188346817214,0.05481075420657163,0.006887236066189246,-0.03693740997648657,0.005768979972507843,-0.00506591796875,0.0044989369315559646,0.0,0.0,-0.00506591796875,0.0044989369315559646
transformer,algebra_a4,block_04,all,3,0.02722489581466439,0.004895500994750303,0.04312599501063141,0.0037318978975467874,-0.0169602071398474,0.0032509289002354597,-0.0029805501302083335,0.0025086219958293542,0.0,0.0,-0.0029805501302083335,0.0025086219958293542
transformer,algebra_a4,final_norm,local,3,0.07349905364029145,0.010446138657192964,0.11962346632219147,0.01377792140011682,-0.039834819766992324,0.005855307114328347,0.004150390625,0.0022565989912595864,0.0,0.0,0.004150390625,0.0022565989912595864
