comparison,architecture,trained_task_count,reference_task_count,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
k16_alignment,transformer,8,16,block_04,3,0.5996685802198622,0.10450492128408767,0.48621088694567216,0.6919894547602422
k16_alignment,transformer,8,16,embedding,3,0.9521056710549928,0.016556037991991637,0.9332880329787375,0.9644342104419845
k16_alignment,transformer,8,16,final_norm,3,0.6447665615616595,0.0689352220285796,0.569470118995785,0.704773207181355
random_baseline,mlp,0,0,block_01,3,0.7613625477066513,0.016500657114281628,0.7454222363687312,0.7783715938518105
random_baseline,mlp,0,0,embedding,3,0.8947710156023588,0.0054981599281041255,0.8885908768201923,0.8991197255576547
random_baseline,mlp,0,0,final_norm,3,0.7588235077893305,0.016295923801448765,0.7430417830161588,0.7755890535466354
random_baseline,transformer,0,0,block_01,3,0.8426245982882206,0.0024676549207747383,0.8398038383761003,0.8443839853311075
random_baseline,transformer,0,0,block_02,3,0.8630289127814984,0.015890702739279606,0.8521039443249874,0.8812584730930366
random_baseline,transformer,0,0,block_03,3,0.8839584309223795,0.012667092852480978,0.8743786656270645,0.8983204770662578
random_baseline,transformer,0,0,block_04,3,0.8847039238332819,0.004473846073742403,0.8805407229746695,0.8894343197718105
random_baseline,transformer,0,0,embedding,3,0.896554169213089,0.007939500851155292,0.8906762866438797,0.9055860199950057
random_baseline,transformer,0,0,final_norm,3,0.8833474435767771,0.003836611488966155,0.8806564435888229,0.8877406438539005
seed_stability,mlp,1,1,block_01,3,0.872848741506855,0.038764451249319945,0.8424008623256727,0.9164870730615019
seed_stability,mlp,1,1,embedding,3,0.9145714368858755,0.018642630878575154,0.8932384858159704,0.9277332250388346
seed_stability,mlp,1,1,final_norm,3,0.8255471247005995,0.015372370975926116,0.8079189797808669,0.8361629100782673
seed_stability,mlp,2,2,block_01,3,0.7761816492878869,0.04441432502565498,0.7501234698601973,0.827464637249757
seed_stability,mlp,2,2,embedding,3,0.8953230718913717,0.022815579696533146,0.8749843185847943,0.9199942419627
seed_stability,mlp,2,2,final_norm,3,0.8562758961398468,0.032427850736581464,0.8216585383018271,0.8859455784821181
seed_stability,mlp,4,4,block_01,3,0.541079662146102,0.11790464165829534,0.463857344504142,0.6767940637969392
seed_stability,mlp,4,4,embedding,3,0.9380292100765321,0.01986509777388232,0.9205985185350265,0.9596577411187261
seed_stability,mlp,4,4,final_norm,3,0.4924461721454653,0.17342782671786522,0.35934653856883836,0.6885744467746082
seed_stability,mlp,8,8,block_01,3,0.36125567189532015,0.1678745092362047,0.246261951143242,0.5538975802457167
seed_stability,mlp,8,8,embedding,3,0.9279942760269617,0.002567115969909602,0.9260797078601205,0.9309113830497964
seed_stability,mlp,8,8,final_norm,3,0.564911669555905,0.21526048208237947,0.4232482445105853,0.8126209687018006
seed_stability,mlp,16,16,block_01,3,0.894745507905402,0.008338721407375566,0.8852889846371067,0.9010437696882649
seed_stability,mlp,16,16,embedding,3,0.9644902922365244,0.0071548471592796726,0.9579096782989185,0.9721065069743156
seed_stability,mlp,16,16,final_norm,3,0.833399265611054,0.038090434666091036,0.7927126344385017,0.8682108134985917
seed_stability,transformer,1,1,block_01,3,0.5235301001309468,0.2632171697595805,0.3407974860421555,0.8252291727337582
seed_stability,transformer,1,1,block_02,3,0.4818836015671182,0.30458691405830735,0.2633009136846157,0.8297947155068087
seed_stability,transformer,1,1,block_03,3,0.49111283185825433,0.29835910473157967,0.3048834831356422,0.8352397123610019
seed_stability,transformer,1,1,block_04,3,0.4869903426731832,0.2123157712838687,0.36010535525224724,0.7321004909379382
seed_stability,transformer,1,1,embedding,3,0.9285664212307522,0.006333831563552152,0.92230844286579,0.9349734742264008
seed_stability,transformer,1,1,final_norm,3,0.5376487337166983,0.19383017223108415,0.4161068239289405,0.7611796615492273
seed_stability,transformer,2,2,block_01,3,0.8511599938290971,0.016633504192556933,0.8359405250762517,0.8689161211549714
seed_stability,transformer,2,2,block_02,3,0.8604908794288036,0.049995846341466324,0.8242208959595495,0.9175225403750038
seed_stability,transformer,2,2,block_03,3,0.7933703812350267,0.09192090041199574,0.7237945911977371,0.8975762783357488
seed_stability,transformer,2,2,block_04,3,0.4719820691955592,0.26590993880948754,0.2715926909932841,0.7736492586173226
seed_stability,transformer,2,2,embedding,3,0.9476932711959573,0.004192021068798322,0.943548153982697,0.9519306723159123
seed_stability,transformer,2,2,final_norm,3,0.5092418480798836,0.23638868399336277,0.31911200373058773,0.7739168868039235
seed_stability,transformer,4,4,block_01,3,0.9062731284596564,0.0190804964199636,0.8872102304823161,0.9253711747619684
seed_stability,transformer,4,4,block_02,3,0.891018316627933,0.012903232636780521,0.8769969938064271,0.9023930692648426
seed_stability,transformer,4,4,block_03,3,0.8273413752087583,0.02273566614408785,0.8044026133199275,0.8498683516092873
seed_stability,transformer,4,4,block_04,3,0.7472952082730134,0.053554985399936625,0.6932109617050162,0.8003047566520515
seed_stability,transformer,4,4,embedding,3,0.9616292298219591,0.003468365076346995,0.9580962478981082,0.9650291482683878
seed_stability,transformer,4,4,final_norm,3,0.7740100803996567,0.07080008361076617,0.7167554648624438,0.8531753302420747
seed_stability,transformer,8,8,block_01,3,0.6323885041477862,0.13900861943776413,0.5102906754225605,0.7836731456002398
seed_stability,transformer,8,8,block_02,3,0.696277965467676,0.0870528250446952,0.5985329251024275,0.7654636503781134
seed_stability,transformer,8,8,block_03,3,0.6868807875282444,0.062443079613723335,0.6344291874752259,0.7559523624987833
seed_stability,transformer,8,8,block_04,3,0.5888249125788709,0.060657367374835326,0.5190944485176321,0.6293965448056685
seed_stability,transformer,8,8,embedding,3,0.9558927562745646,0.018540666150250767,0.9379621706854379,0.9749885414864937
seed_stability,transformer,8,8,final_norm,3,0.6301222002833408,0.035487711826415955,0.5898678697081179,0.6568878400290074
seed_stability,transformer,16,16,block_01,3,0.7864127739308335,0.057139009261466825,0.7276334227259875,0.8417563949623241
seed_stability,transformer,16,16,block_02,3,0.8278450580170044,0.03258890857560028,0.7920256638994195,0.8557430089740355
seed_stability,transformer,16,16,block_03,3,0.7865584165395751,0.040385894968724266,0.750303312993164,0.8300866791798821
seed_stability,transformer,16,16,block_04,3,0.6210786003560831,0.056813399953496796,0.5696700719829777,0.6820764166755637
seed_stability,transformer,16,16,embedding,3,0.9656868648302018,0.004682263471931028,0.960732286827168,0.9700383760249152
seed_stability,transformer,16,16,final_norm,3,0.6323172098019595,0.0358064571587265,0.6012959185637018,0.6714998217883573
