comparison,architecture,condition_a,condition_b,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
within_condition_cross_seed,transformer,algebra_a4,algebra_a4,block_03,3,0.8081319214942643,0.10629760243647235,0.6854059526641209,0.8712074229951895
within_condition_cross_seed,transformer,algebra_a4,algebra_a4,block_04,3,0.6176876799827316,0.047922108225290756,0.5726347989224942,0.668038693966644
within_condition_cross_seed,transformer,algebra_a4,algebra_a4,embedding,3,0.9110162615060052,0.028048874015188394,0.8892962150678516,0.9426829908690936
within_condition_cross_seed,transformer,algebra_a4,algebra_a4,final_norm,3,0.6456934093248166,0.052658112383550136,0.6070686087590508,0.7056748443360983
within_condition_cross_seed,transformer,encoding_e4,encoding_e4,block_01,3,0.8714451895855762,0.01707376282371468,0.8531437402553764,0.8869446220933052
within_condition_cross_seed,transformer,encoding_e4,encoding_e4,block_02,3,0.820496576909476,0.045990960769468694,0.7706839832979047,0.8613464495615122
within_condition_cross_seed,transformer,encoding_e4,encoding_e4,block_03,3,0.8166303966314387,0.04138067360070705,0.785236417764704,0.8635231183984845
within_condition_cross_seed,transformer,encoding_e4,encoding_e4,block_04,3,0.5872421756535166,0.05803712405228759,0.538050345958452,0.6512516755536604
within_condition_cross_seed,transformer,encoding_e4,encoding_e4,embedding,3,0.9262805917146739,0.020543172641691556,0.9080606433878173,0.9485453009347786
within_condition_cross_seed,transformer,encoding_e4,encoding_e4,final_norm,3,0.6053250113386822,0.06844948388561468,0.5453583487181057,0.6798990521613733
within_condition_cross_seed,transformer,statistics_s4,statistics_s4,block_01,3,0.7240181899257409,0.019070640970430423,0.7096635540993602,0.7456574464967339
within_condition_cross_seed,transformer,statistics_s4,statistics_s4,block_02,3,0.6844148637671061,0.069828879288355,0.6106588444526951,0.7495082875420741
within_condition_cross_seed,transformer,statistics_s4,statistics_s4,block_03,3,0.5948961405781421,0.05268169210160395,0.5617148085032494,0.6556411957970727
within_condition_cross_seed,transformer,statistics_s4,statistics_s4,block_04,3,0.3937093775300089,0.09681480432395775,0.3143558510867096,0.5015797600796109
within_condition_cross_seed,transformer,statistics_s4,statistics_s4,embedding,3,0.953319647010434,0.013312038508912702,0.942729004496103,0.9682632369005205
within_condition_cross_seed,transformer,statistics_s4,statistics_s4,final_norm,3,0.41592179601971696,0.09739924508743468,0.3405355657713272,0.5258942315634118
