comparison,architecture,condition_a,seed_a,run_id_a,layer,condition_b,seed_b,run_id_b,probe_examples,linear_cka
disjoint_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.3621596125887991
disjoint_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.174879620844766
disjoint_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,embedding,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.6766587981987703
disjoint_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,block_01,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.23945627061837266
disjoint_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,final_norm,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.2131575219837236
disjoint_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.7555472732121016
disjoint_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.3190809797139092
disjoint_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.14354024500940812
disjoint_condition_cross_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,embedding,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.6710656253314677
disjoint_condition_cross_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,block_01,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.17059617865004617
disjoint_condition_cross_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,final_norm,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.1950953014960379
disjoint_condition_cross_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.682541509414841
disjoint_condition_cross_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.18305413924047995
disjoint_condition_cross_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.1492687205606696
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,embedding,encoding_e4,42,category-encoding-e4-transformer-seed42,4096,0.9080606433878173
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_01,encoding_e4,42,category-encoding-e4-transformer-seed42,4096,0.8869446220933052
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_02,encoding_e4,42,category-encoding-e4-transformer-seed42,4096,0.8613464495615122
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_03,encoding_e4,42,category-encoding-e4-transformer-seed42,4096,0.8635231183984845
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_04,encoding_e4,42,category-encoding-e4-transformer-seed42,4096,0.6512516755536604
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,final_norm,encoding_e4,42,category-encoding-e4-transformer-seed42,4096,0.6798990521613733
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,embedding,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.9222358308214258
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_01,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.8742472064080468
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_02,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.8294592978690108
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_03,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.8011316537311274
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,block_04,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.5724245054484373
within_condition_cross_seed,transformer,encoding_e4,17,category-encoding-e4-transformer-seed17,final_norm,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.5907176331365676
within_condition_cross_seed,transformer,encoding_e4,42,category-encoding-e4-transformer-seed42,embedding,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.9485453009347786
within_condition_cross_seed,transformer,encoding_e4,42,category-encoding-e4-transformer-seed42,block_01,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.8531437402553764
within_condition_cross_seed,transformer,encoding_e4,42,category-encoding-e4-transformer-seed42,block_02,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.7706839832979047
within_condition_cross_seed,transformer,encoding_e4,42,category-encoding-e4-transformer-seed42,block_03,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.785236417764704
within_condition_cross_seed,transformer,encoding_e4,42,category-encoding-e4-transformer-seed42,block_04,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.538050345958452
within_condition_cross_seed,transformer,encoding_e4,42,category-encoding-e4-transformer-seed42,final_norm,encoding_e4,314159,category-encoding-e4-transformer-seed314159,4096,0.5453583487181057
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,embedding,statistics_s4,42,category-statistics-s4-transformer-seed42,4096,0.942729004496103
within_condition_cross_seed,transformer,statistics_s4,17,category-statistics-s4-transformer-seed17,block_01,statistics_s4,42,category-statistics-s4-transformer-seed42,4096,0.7096635540993602
