shots,initialization,architecture,base_trained_task_count,task,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
100,pretrained,transformer,1,to_reduced_word,3,8.4109139627374869,1.0552185337937745,0.02754834524021808,0.0033056197801292772,0,0
100,pretrained,transformer,1,compose,3,8.3935769664094604,0.84677049091911616,0.024970840844025025,0.0045959238884647107,0,0
100,pretrained,transformer,1,parity,3,2.9536466033299766,0.75801733971119578,0.56256666666666666,0.017886400793153817,0.12513333333333335,0.035772801586307634
100,pretrained,transformer,1,to_lehmer,3,8.9827862704714434,1.2194133650497623,0.026285876669508382,0.0084623759236357801,0,0
100,pretrained,transformer,2,to_reduced_word,3,6.6161054021431296,0.46077084302661253,0.031706164473936586,0.00067175066359724707,0,0
100,pretrained,transformer,2,compose,3,6.8011339408343501,0.38420739737109583,0.034415658368579585,0.013334738251026658,0,0
100,pretrained,transformer,2,parity,3,1.9344659776290258,0.28314936500811477,0.63603333333333334,0.038609109460505983,0.27346666666666669,0.078285971497665738
100,pretrained,transformer,2,to_lehmer,3,7.6245278381688131,0.78760518850392414,0.059956323208258888,0.00733254122898343,0,0
100,pretrained,transformer,4,to_reduced_word,3,2.2925206927843322,0.015464355611215699,0.51176334450038519,0.0029059633953588326,0,0
100,pretrained,transformer,4,compose,3,3.1173924355497591,0.066975374772697507,0.45496137639070522,0.0029955221416967637,0,0
100,pretrained,transformer,4,parity,3,0.95932831446329747,0.039634009951246808,0.72403333333333331,0.0051247764178872597,0.44806666666666667,0.010249552835774516
100,pretrained,transformer,4,to_lehmer,3,2.0840428606393648,0.058838411681674321,0.56883960651959808,0.002280828962072063,0,0
100,pretrained,transformer,8,to_reduced_word,3,2.2189761710521814,0.17068653425832528,0.50795752557693274,0.020383039330818819,0,0
100,pretrained,transformer,8,compose,3,1.723852547014374,0.025162800542663854,0.53180802475681066,0.0028674305860057667,0.0031999999999999997,0.0055425625842204064
100,pretrained,transformer,8,parity,3,0.46786729950110123,0.042119368634372545,0.75023333333333342,0.0063263997133703922,0.50046666666666673,0.012652799426740814
100,pretrained,transformer,8,to_lehmer,3,1.5226721835539119,0.019864578078038909,0.58255380770533349,0.0095431753774429598,0,0
100,pretrained,transformer,16,to_reduced_word,3,1.9845014524856177,0.046594183919899695,0.52041875811761196,0.0040104257438478234,0,0
100,pretrained,transformer,16,compose,3,1.7355224948603019,0.074366351273044154,0.51446569037492595,0.012956698367575332,0,0
100,pretrained,transformer,16,parity,3,0.71467802254358925,0.061704244866354903,0.7544333333333334,0.00073711147958318093,0.50886666666666669,0.0014742229591664046
100,pretrained,transformer,16,to_lehmer,3,1.3402463579758666,0.044160021916989332,0.58735747624441881,0.010177347563649517,0.00079999999999999993,0.0013856406460551016
100,random,transformer,0,to_reduced_word,3,1.4289346827968619,0.0048712717719422115,0.54802359203037565,0.0013050440469391067,0.029399999999999999,0.0095268042910516409
100,random,transformer,0,compose,3,1.5484224859512787,0.0075537728456917244,0.54019643649587457,0.00095235833769954838,0.0166,0.0060630025564896474
100,random,transformer,0,parity,3,0.52240521647135418,0.040338399458737767,0.75336666666666663,0.0055148284953689519,0.50673333333333337,0.011029656990737904
100,random,transformer,0,to_lehmer,3,1.1654704931230251,0.021965299275061852,0.61467104213136514,0.0021808815825182571,0.033399999999999999,0.01505722417977497
100,random,mlp,0,to_reduced_word,3,1.6314690432429888,0.030821556114924348,0.52936926181530142,0.0014880712651070219,0.023333333333333334,0.00098657657246324941
100,random,mlp,0,compose,3,1.6250229204525015,0.0089551208631413279,0.53575285602642186,0.0041956011026902671,0.019,0.0010583005244258357
100,random,mlp,0,parity,3,0.50993635559082029,0.030320946979991388,0.74920000000000009,0.0044508426168535873,0.49839999999999995,0.0089016852337071451
100,random,mlp,0,to_lehmer,3,1.3233197226434124,0.019004536562643136,0.60154075527371953,0.0031604836114272408,0.023266666666666668,0.0026558112382722783
