run_id,architecture,trained_task_count,seed,task,task_status,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,in_domain_loss,in_domain_token_accuracy,in_domain_sequence_accuracy,loss_delta_out_minus_in,token_accuracy_delta_out_minus_in,sequence_accuracy_delta_out_minus_in
transformer-tasks04-seed17,transformer,4,17,recoils,seen,1000,2000,4.092347236633301,0.498,0.027,0.4005831336021423,0.8323,0.6646,3.6917641030311583,-0.33430000000000004,-0.6376
transformer-tasks04-seed17,transformer,4,17,right_multiply_simple,pool_unseen,1000,73116,7.682929699253584,0.28647628426062693,0.0,5.9469673251759145,0.2932940526173423,0.0,1.735962374077669,-0.006817768356715381,0.0
transformer-tasks04-seed17,transformer,4,17,rsk_shape,pool_unseen,1000,20450,5.749836461596501,0.42444987775061127,0.0,7.465865898528862,0.288843707961355,0.0,-1.7160294369323612,0.13560616978925627,0.0
transformer-tasks04-seed17,transformer,4,17,to_cycle,pool_unseen,1000,73182,8.074724752479264,0.2862725806892405,0.0,7.052575263382412,0.27264407179971656,0.0,1.0221494890968525,0.013628508889523938,0.0
transformer-tasks04-seed17,transformer,4,17,to_inversion_vector,seen,1000,72902,2.6208364281522627,0.5332912677292804,0.0,0.5666841883038601,0.784356350728401,0.2618,2.0541522398484027,-0.25106508299912067,-0.2618
transformer-tasks04-seed17,transformer,4,17,to_lehmer,fixed_train_holdout,1000,72832,3.2590153062280747,0.48566564147627417,0.0,3.782715386892966,0.4467411741349309,0.0,-0.5237000806648915,0.03892446734134325,0.0
transformer-tasks04-seed42,transformer,4,42,bruhat_leq,pool_unseen,1000,2000,4.0119515228271485,0.3485,0.137,10.329040454101563,0.1405,0.0042,-6.317088931274414,0.20799999999999996,0.1328
transformer-tasks04-seed42,transformer,4,42,compose,fixed_train_holdout,1000,72906,6.690328382501955,0.21273969220640276,0.0,8.205526738683707,0.1877201663544575,0.0,-1.5151983561817524,0.02501952585194525,0.0
transformer-tasks04-seed42,transformer,4,42,cycle_type,pool_unseen,1000,10104,8.009542361008016,0.3389746634996041,0.0,8.958736620585002,0.30795946524573004,0.0,-0.949194259576986,0.031015198253874054,0.0
transformer-tasks04-seed42,transformer,4,42,descents,pool_unseen,1000,2000,3.0751211128234863,0.4975,0.043,1.50067084441185,0.6674,0.3348,1.5744502684116364,-0.1699,-0.2918
transformer-tasks04-seed42,transformer,4,42,exceedances,pool_unseen,1000,2000,2.9077644386291506,0.503,0.043,1.8166302703857422,0.6352,0.2704,1.0911341682434084,-0.13219999999999998,-0.2274
transformer-tasks04-seed42,transformer,4,42,fixed_points,seen,1000,2000,0.9787921504974365,0.8615,0.755,0.0022749863505363466,0.9999,0.9998,0.9765171641469002,-0.13839999999999997,-0.24480000000000002
transformer-tasks04-seed42,transformer,4,42,inverse,pool_unseen,1000,73094,6.147075210409712,0.3486469477658905,0.0,5.530610450787678,0.3730611233090162,0.0,0.6164647596220343,-0.024414175543125693,0.0
