logical_run_id,canonical_run_id,kind,split_id,role,related_pair_count,seed,tasks,reused,global_step,seen_task_token_accuracy_macro,seen_task_sequence_accuracy_macro,checkpoint_sha256
geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-anchor-transformer-seed17,bundle,s1,anchor,,17,"recoils,fixed_points,exceedances,components",False,20000,0.9328125,0.865625,b09a1adde1b16f97a4f51b4867d55227ed5b1d96f1fbf830fc0df7c21a3f1b90
geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-anchor-transformer-seed42,bundle,s1,anchor,,42,"recoils,fixed_points,exceedances,components",False,20000,0.9359375,0.871875,e3a6bb9264ca444a8abad630ae3cf200c45048efd90080ab9716be29777f8806
geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-anchor-transformer-seed101,bundle,s1,anchor,,101,"recoils,fixed_points,exceedances,components",False,20000,0.928125,0.85625,f9d67d0b803bd514ce53865273aecbb560ea4f63e79d2cac26bcf0ae0a14407a
geometry-bundle-s1-r0-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17,bundle,s1,r0,0,17,"valleys,lds_length,longest_decreasing_run,left_to_right_maxima",False,20000,0.9234375,0.846875,e7900588fe25cdb92147bd969f69de91d32d896d9cea26be58c97244e01070d0
geometry-bundle-s1-r0-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42,bundle,s1,r0,0,42,"valleys,lds_length,longest_decreasing_run,left_to_right_maxima",False,20000,0.8953125,0.790625,717d3d1a41c4642175e47e2912b51765cdfe9f1b90453898f9e24e5d4bbbf885
geometry-bundle-s1-r0-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101,bundle,s1,r0,0,101,"valleys,lds_length,longest_decreasing_run,left_to_right_maxima",False,20000,0.94609375,0.8921875,db548295340ee34793d34e907f44dd5f0ed376e7db828275ad300fa6e139aafa
geometry-bundle-s1-r1-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17,bundle,s1,r1,1,17,"descents,valleys,lds_length,longest_increasing_run",False,20000,0.94609375,0.8921875,4b871952b04a0662a3a3b5795b2fca06024cb355caa57fcc793ccf77183830b1
geometry-bundle-s1-r1-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42,bundle,s1,r1,1,42,"descents,valleys,lds_length,longest_increasing_run",False,20000,0.9289062499999999,0.8578125,f6b7dd286352ba11acbdf19cff044319fd3f811a0f841f9d124746606daa748b
geometry-bundle-s1-r1-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101,bundle,s1,r1,1,101,"descents,valleys,lds_length,longest_increasing_run",False,20000,0.95234375,0.9046875,4afb5ff1569766487b237bc8b94e8530d4c119d300faacb4264cb9779ab5c5bb
geometry-bundle-s1-r2-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17,bundle,s1,r2,2,17,"descents,peaks,anti_fixed_points,longest_decreasing_run",False,20000,0.93671875,0.8734375,061304de9b69c142f2148c4af436dd00917d9b3d85a2812076a90d3a20a28381
geometry-bundle-s1-r2-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42,bundle,s1,r2,2,42,"descents,peaks,anti_fixed_points,longest_decreasing_run",False,20000,0.9390624999999999,0.878125,5db70abc4d4f88c2bb72b5e0f20b627e66b3ad77e0d70548cac30c13cd6eb481
geometry-bundle-s1-r2-transformer-seed101,geometry-bundle-s1-r2-transformer-seed101,bundle,s1,r2,2,101,"descents,peaks,anti_fixed_points,longest_decreasing_run",False,20000,0.928125,0.85625,38bac842ee193b758da3ed5bcc600f279a848236dd84c72d15f110bed8344480
