split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s1,17,4,final_norm,0.20642763599447966,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17
s1,42,0,embedding,0.834020434524397,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42
s1,42,0,block_01,0.5829879382238689,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42
s1,42,0,block_02,0.4962623628312603,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42
s1,42,0,block_03,0.39983376974341894,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42
s1,42,0,block_04,0.22455525015256858,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42
s1,42,0,final_norm,0.22898814222808517,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r0-transformer-seed42
s1,42,1,embedding,0.8009472962495082,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42
s1,42,1,block_01,0.4632649650381585,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42
s1,42,1,block_02,0.48833418284345015,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42
s1,42,1,block_03,0.4747976731490181,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42
s1,42,1,block_04,0.21808962273206914,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42
s1,42,1,final_norm,0.1945945546940878,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r1-transformer-seed42
s1,42,2,embedding,0.921988044627698,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42
s1,42,2,block_01,0.589036401155647,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42
s1,42,2,block_02,0.462537477268428,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42
s1,42,2,block_03,0.5021142289216433,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42
s1,42,2,block_04,0.22709487690671812,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42
s1,42,2,final_norm,0.1828158385074699,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r2-transformer-seed42
s1,42,4,embedding,0.9229733583915123,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42
s1,42,4,block_01,0.7847598883258491,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42
s1,42,4,block_02,0.6590171676600255,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42
s1,42,4,block_03,0.4767102546490026,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42
s1,42,4,block_04,0.11874168837304953,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42
s1,42,4,final_norm,0.11156068529706738,geometry-bundle-s1-anchor-transformer-seed42,geometry-bundle-s1-r4-transformer-seed42
s1,101,0,embedding,0.7702613532174293,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101
s1,101,0,block_01,0.3050136420361181,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101
s1,101,0,block_02,0.4603043763474346,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101
s1,101,0,block_03,0.5305595398543699,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101
s1,101,0,block_04,0.3376686886115769,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101
s1,101,0,final_norm,0.2935506207305227,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r0-transformer-seed101
s1,101,1,embedding,0.8829688574068605,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101
s1,101,1,block_01,0.5162025052250235,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101
s1,101,1,block_02,0.5916929232424684,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101
s1,101,1,block_03,0.6254390361286181,geometry-bundle-s1-anchor-transformer-seed101,geometry-bundle-s1-r1-transformer-seed101
