pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
fixed_complement,fixed_points,anti_fixed_points,42,wrong,inverse,block_02,0.011363453015327705
fixed_complement,fixed_points,anti_fixed_points,42,wrong,inverse,block_03,0.012155252018715984
fixed_complement,fixed_points,anti_fixed_points,42,wrong,inverse,block_04,0.007166429484271744
fixed_complement,fixed_points,anti_fixed_points,42,wrong,inverse,final_norm,0.007704245437515689
fixed_complement,fixed_points,anti_fixed_points,101,identity,identity,embedding,0.729386004842373
fixed_complement,fixed_points,anti_fixed_points,101,identity,identity,block_01,0.06365957251429853
fixed_complement,fixed_points,anti_fixed_points,101,identity,identity,block_02,0.11968098329104919
fixed_complement,fixed_points,anti_fixed_points,101,identity,identity,block_03,0.1507052644475914
fixed_complement,fixed_points,anti_fixed_points,101,identity,identity,block_04,0.10976793021016924
fixed_complement,fixed_points,anti_fixed_points,101,identity,identity,final_norm,0.058650323149267804
fixed_complement,fixed_points,anti_fixed_points,101,correct,complement,embedding,0.729386004842373
fixed_complement,fixed_points,anti_fixed_points,101,correct,complement,block_01,0.06576360947580681
fixed_complement,fixed_points,anti_fixed_points,101,correct,complement,block_02,0.11163575816615467
fixed_complement,fixed_points,anti_fixed_points,101,correct,complement,block_03,0.16289974629046097
fixed_complement,fixed_points,anti_fixed_points,101,correct,complement,block_04,0.15081197654154135
fixed_complement,fixed_points,anti_fixed_points,101,correct,complement,final_norm,0.12212263661482954
fixed_complement,fixed_points,anti_fixed_points,101,wrong,inverse,embedding,0.729386004842373
fixed_complement,fixed_points,anti_fixed_points,101,wrong,inverse,block_01,0.06207405145907516
fixed_complement,fixed_points,anti_fixed_points,101,wrong,inverse,block_02,0.12016605048269748
fixed_complement,fixed_points,anti_fixed_points,101,wrong,inverse,block_03,0.14906956402933438
fixed_complement,fixed_points,anti_fixed_points,101,wrong,inverse,block_04,0.10717985338319946
fixed_complement,fixed_points,anti_fixed_points,101,wrong,inverse,final_norm,0.05871751878208794
exceedance_inverse,exceedances,deficiencies,17,identity,identity,embedding,0.9388453906399178
exceedance_inverse,exceedances,deficiencies,17,identity,identity,block_01,0.8594544681566512
exceedance_inverse,exceedances,deficiencies,17,identity,identity,block_02,0.7027502011593192
exceedance_inverse,exceedances,deficiencies,17,identity,identity,block_03,0.4498716551497477
exceedance_inverse,exceedances,deficiencies,17,identity,identity,block_04,0.14521401946160178
exceedance_inverse,exceedances,deficiencies,17,identity,identity,final_norm,0.1389977759007088
exceedance_inverse,exceedances,deficiencies,17,correct,inverse,embedding,0.9388453906399178
exceedance_inverse,exceedances,deficiencies,17,correct,inverse,block_01,0.9019537603426276
exceedance_inverse,exceedances,deficiencies,17,correct,inverse,block_02,0.9041051054413068
exceedance_inverse,exceedances,deficiencies,17,correct,inverse,block_03,0.8950979251208516
exceedance_inverse,exceedances,deficiencies,17,correct,inverse,block_04,0.7498504423497553
exceedance_inverse,exceedances,deficiencies,17,correct,inverse,final_norm,0.793347124411574
exceedance_inverse,exceedances,deficiencies,17,wrong,complement,embedding,0.9388453906399178
exceedance_inverse,exceedances,deficiencies,17,wrong,complement,block_01,0.8691403955035559
exceedance_inverse,exceedances,deficiencies,17,wrong,complement,block_02,0.7303852992998888
exceedance_inverse,exceedances,deficiencies,17,wrong,complement,block_03,0.48698721498210795
exceedance_inverse,exceedances,deficiencies,17,wrong,complement,block_04,0.14880325020073393
exceedance_inverse,exceedances,deficiencies,17,wrong,complement,final_norm,0.14151603214013367
exceedance_inverse,exceedances,deficiencies,42,identity,identity,embedding,0.9354285331314314
exceedance_inverse,exceedances,deficiencies,42,identity,identity,block_01,0.6929932774320918
exceedance_inverse,exceedances,deficiencies,42,identity,identity,block_02,0.6026824198755437
exceedance_inverse,exceedances,deficiencies,42,identity,identity,block_03,0.36030311603500914
exceedance_inverse,exceedances,deficiencies,42,identity,identity,block_04,0.12555693000345017
exceedance_inverse,exceedances,deficiencies,42,identity,identity,final_norm,0.12029824873257691
exceedance_inverse,exceedances,deficiencies,42,correct,inverse,embedding,0.9354285331314314
exceedance_inverse,exceedances,deficiencies,42,correct,inverse,block_01,0.7409187141068101
exceedance_inverse,exceedances,deficiencies,42,correct,inverse,block_02,0.8419137394135736
exceedance_inverse,exceedances,deficiencies,42,correct,inverse,block_03,0.8663131353697705
exceedance_inverse,exceedances,deficiencies,42,correct,inverse,block_04,0.73832257448103
exceedance_inverse,exceedances,deficiencies,42,correct,inverse,final_norm,0.7865603164660572
exceedance_inverse,exceedances,deficiencies,42,wrong,complement,embedding,0.9354285331314314
exceedance_inverse,exceedances,deficiencies,42,wrong,complement,block_01,0.6753097900802998
exceedance_inverse,exceedances,deficiencies,42,wrong,complement,block_02,0.6309007590908202
exceedance_inverse,exceedances,deficiencies,42,wrong,complement,block_03,0.39825763361219463
exceedance_inverse,exceedances,deficiencies,42,wrong,complement,block_04,0.11855573276614369
exceedance_inverse,exceedances,deficiencies,42,wrong,complement,final_norm,0.11616575183740314
exceedance_inverse,exceedances,deficiencies,101,identity,identity,embedding,0.9122914614100848
exceedance_inverse,exceedances,deficiencies,101,identity,identity,block_01,0.8116273743962193
exceedance_inverse,exceedances,deficiencies,101,identity,identity,block_02,0.7173187006431891
exceedance_inverse,exceedances,deficiencies,101,identity,identity,block_03,0.49435201730470113
exceedance_inverse,exceedances,deficiencies,101,identity,identity,block_04,0.20329042784436613
exceedance_inverse,exceedances,deficiencies,101,identity,identity,final_norm,0.1857529983488977
exceedance_inverse,exceedances,deficiencies,101,correct,inverse,embedding,0.9122914614100848
