comparison,task_a,task_b,seed_a,seed_b,same_seed,layer,linear_cka
same_task,longest_decreasing_run,longest_decreasing_run,17,101,False,block_03,0.8098443648994589
same_task,longest_decreasing_run,longest_decreasing_run,17,101,False,block_04,0.9486539930167985
same_task,longest_decreasing_run,longest_decreasing_run,17,101,False,final_norm,0.979811705073881
same_task,longest_decreasing_run,longest_decreasing_run,42,101,False,embedding,0.7915861438595267
same_task,longest_decreasing_run,longest_decreasing_run,42,101,False,block_01,0.7114660529133353
same_task,longest_decreasing_run,longest_decreasing_run,42,101,False,block_02,0.8184716268067832
same_task,longest_decreasing_run,longest_decreasing_run,42,101,False,block_03,0.8608934441619711
same_task,longest_decreasing_run,longest_decreasing_run,42,101,False,block_04,0.9581883861256079
same_task,longest_decreasing_run,longest_decreasing_run,42,101,False,final_norm,0.9768323946664009
same_task,left_to_right_maxima,left_to_right_maxima,17,42,False,embedding,0.7569861248435116
same_task,left_to_right_maxima,left_to_right_maxima,17,42,False,block_01,0.8577327245487969
same_task,left_to_right_maxima,left_to_right_maxima,17,42,False,block_02,0.8668735548830325
same_task,left_to_right_maxima,left_to_right_maxima,17,42,False,block_03,0.8601840182412489
same_task,left_to_right_maxima,left_to_right_maxima,17,42,False,block_04,0.8341793826014138
same_task,left_to_right_maxima,left_to_right_maxima,17,42,False,final_norm,0.8825392809678567
same_task,left_to_right_maxima,left_to_right_maxima,17,101,False,embedding,0.5978149964079388
same_task,left_to_right_maxima,left_to_right_maxima,17,101,False,block_01,0.7307753661684528
same_task,left_to_right_maxima,left_to_right_maxima,17,101,False,block_02,0.5843748441830006
same_task,left_to_right_maxima,left_to_right_maxima,17,101,False,block_03,0.5403742265444376
same_task,left_to_right_maxima,left_to_right_maxima,17,101,False,block_04,0.6422636193300112
same_task,left_to_right_maxima,left_to_right_maxima,17,101,False,final_norm,0.7001436923698193
same_task,left_to_right_maxima,left_to_right_maxima,42,101,False,embedding,0.6725091514566487
same_task,left_to_right_maxima,left_to_right_maxima,42,101,False,block_01,0.6594703038968904
same_task,left_to_right_maxima,left_to_right_maxima,42,101,False,block_02,0.5999705555858139
same_task,left_to_right_maxima,left_to_right_maxima,42,101,False,block_03,0.5403781902461359
same_task,left_to_right_maxima,left_to_right_maxima,42,101,False,block_04,0.5974079530775993
same_task,left_to_right_maxima,left_to_right_maxima,42,101,False,final_norm,0.6692458632095124
same_task,left_to_right_minima,left_to_right_minima,17,42,False,embedding,0.8120996823956093
same_task,left_to_right_minima,left_to_right_minima,17,42,False,block_01,0.2997094127620604
same_task,left_to_right_minima,left_to_right_minima,17,42,False,block_02,0.44473604691129404
same_task,left_to_right_minima,left_to_right_minima,17,42,False,block_03,0.6377780572313928
same_task,left_to_right_minima,left_to_right_minima,17,42,False,block_04,0.7034584783202126
same_task,left_to_right_minima,left_to_right_minima,17,42,False,final_norm,0.81109652197812
same_task,left_to_right_minima,left_to_right_minima,17,101,False,embedding,0.7532948876964162
same_task,left_to_right_minima,left_to_right_minima,17,101,False,block_01,0.11039944476264696
same_task,left_to_right_minima,left_to_right_minima,17,101,False,block_02,0.4433903730439292
same_task,left_to_right_minima,left_to_right_minima,17,101,False,block_03,0.5872156598371083
same_task,left_to_right_minima,left_to_right_minima,17,101,False,block_04,0.6342938966661855
same_task,left_to_right_minima,left_to_right_minima,17,101,False,final_norm,0.7056018885480777
same_task,left_to_right_minima,left_to_right_minima,42,101,False,embedding,0.7737913188417871
same_task,left_to_right_minima,left_to_right_minima,42,101,False,block_01,0.13679377892021716
same_task,left_to_right_minima,left_to_right_minima,42,101,False,block_02,0.3100218149534634
same_task,left_to_right_minima,left_to_right_minima,42,101,False,block_03,0.6179553215658184
same_task,left_to_right_minima,left_to_right_minima,42,101,False,block_04,0.7197841163895822
same_task,left_to_right_minima,left_to_right_minima,42,101,False,final_norm,0.7534541456126578
same_task,global_descents,global_descents,17,42,False,embedding,0.6835730852020548
same_task,global_descents,global_descents,17,42,False,block_01,0.24530524225297753
same_task,global_descents,global_descents,17,42,False,block_02,0.29020115266405505
same_task,global_descents,global_descents,17,42,False,block_03,0.321927393326748
same_task,global_descents,global_descents,17,42,False,block_04,0.38345837135955446
same_task,global_descents,global_descents,17,42,False,final_norm,0.31004107155197197
same_task,global_descents,global_descents,17,101,False,embedding,0.6458868934642359
same_task,global_descents,global_descents,17,101,False,block_01,0.04368220373663426
